datetime,Datetime,Temp,pH ,mV[pH],ORP[mV],EC,EC Abs,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L]
2021-11-17 12:47:55,11/17/2021 1:10:32 p. m.,16.87,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.811,64.7,4.57
2021-11-17 12:48:00,11/17/2021 1:10:37 p. m.,16.88,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.811,64.8,4.58
2021-11-17 12:48:05,11/17/2021 1:10:42 p. m.,16.88,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.81,64.5,4.56
2021-11-17 12:48:10,11/17/2021 1:10:47 p. m.,16.88,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.809,65.2,4.61
2021-11-17 12:48:15,11/17/2021 1:10:52 p. m.,16.88,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.811,66.1,4.67
2021-11-17 12:48:20,11/17/2021 1:10:57 p. m.,16.88,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.811,65.5,4.63
2021-11-17 12:48:25,11/17/2021 1:11:02 p. m.,16.88,5.66,92.7,234.8,649,549,1.5,0.325,0.32,0,10.813,64.9,4.58
2021-11-17 12:48:30,11/17/2021 1:11:07 p. m.,16.88,5.66,92.7,234.8,649,549,1.5,0.325,0.32,0,10.813,64.4,4.55
2021-11-17 12:48:35,11/17/2021 1:11:12 p. m.,16.88,5.66,92.7,234.8,649,549,1.5,0.325,0.32,0,10.813,63.9,4.51
2021-11-17 12:48:40,11/17/2021 1:11:17 p. m.,16.88,5.66,92.7,234.8,649,549,1.5,0.325,0.32,0,10.811,63.6,4.49
2021-11-17 12:48:45,11/17/2021 1:11:22 p. m.,16.88,5.66,92.7,234.8,649,549,1.5,0.325,0.32,0,10.81,63.8,4.51
2021-11-17 12:48:50,11/17/2021 1:11:27 p. m.,16.88,5.66,92.7,234.8,650,550,1.5,0.325,0.32,0,10.809,64,4.52
2021-11-17 12:48:55,11/17/2021 1:11:32 p. m.,16.88,5.66,92.7,234.8,650,550,1.5,0.325,0.32,0,10.81,63.7,4.5
2021-11-17 12:49:00,11/17/2021 1:11:37 p. m.,16.88,5.66,92.7,234.8,650,550,1.5,0.325,0.32,0,10.81,63.1,4.46
2021-11-17 12:49:05,11/17/2021 1:11:42 p. m.,16.88,5.66,92.7,234.8,650,550,1.5,0.325,0.32,0,10.811,62.7,4.43
2021-11-17 12:49:10,11/17/2021 1:11:47 p. m.,16.88,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.811,62.6,4.42
2021-11-17 12:49:15,11/17/2021 1:11:52 p. m.,16.88,5.66,92.7,234.8,649,549,1.5,0.325,0.32,0,10.81,63.2,4.46
2021-11-17 12:49:20,11/17/2021 1:11:57 p. m.,16.88,5.66,92.7,234.8,649,549,1.5,0.325,0.32,0,10.812,64.5,4.56
2021-11-17 12:49:25,11/17/2021 1:12:02 p. m.,16.88,5.66,92.7,234.8,649,549,1.5,0.325,0.32,0,10.811,64.2,4.53
2021-11-17 12:49:30,11/17/2021 1:12:07 p. m.,16.88,5.66,92.7,234.8,649,549,1.5,0.325,0.32,0,10.811,63.5,4.48
2021-11-17 12:49:35,11/17/2021 1:12:12 p. m.,16.89,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.811,63.5,4.49
2021-11-17 12:49:40,11/17/2021 1:12:17 p. m.,16.89,5.66,92.6,234.7,649,549,1.5,0.325,0.32,0,10.812,63.6,4.49
2021-11-17 12:49:45,11/17/2021 1:12:22 p. m.,16.89,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.81,63.5,4.48
2021-11-17 12:49:50,11/17/2021 1:12:27 p. m.,16.89,5.66,92.7,234.7,650,550,1.5,0.325,0.32,0,10.811,64.1,4.53
2021-11-17 12:49:55,11/17/2021 1:12:32 p. m.,16.89,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.81,65.1,4.59
2021-11-17 12:50:00,11/17/2021 1:12:37 p. m.,16.89,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.81,65.8,4.65
2021-11-17 12:50:05,11/17/2021 1:12:42 p. m.,16.89,5.66,92.6,234.7,649,549,1.5,0.325,0.32,0,10.81,66.3,4.68
2021-11-17 12:50:10,11/17/2021 1:12:47 p. m.,16.89,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.808,66,4.66
2021-11-17 12:50:15,11/17/2021 1:12:52 p. m.,16.89,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.809,65.4,4.62
2021-11-17 12:50:20,11/17/2021 1:12:57 p. m.,16.89,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.81,65.3,4.61
2021-11-17 12:50:25,11/17/2021 1:13:02 p. m.,16.9,5.66,92.7,234.7,649,549,1.5,0.325,0.32,0,10.812,64.9,4.58
2021-11-17 12:50:30,11/17/2021 1:13:07 p. m.,16.9,5.66,92.8,234.7,649,549,1.5,0.325,0.32,0,10.811,64.8,4.57
2021-11-17 12:50:35,11/17/2021 1:13:12 p. m.,16.89,5.66,92.7,234.7,649,550,1.5,0.325,0.32,0,10.813,65.8,4.64
2021-11-17 12:50:40,11/17/2021 1:13:17 p. m.,16.89,5.66,92.8,234.7,650,550,1.5,0.325,0.32,0,10.81,66.6,4.7
2021-11-17 12:50:45,11/17/2021 1:13:22 p. m.,16.89,5.66,92.8,234.7,649,549,1.5,0.325,0.32,0,10.812,67.5,4.76
2021-11-17 12:50:50,11/17/2021 1:13:27 p. m.,16.9,5.66,92.8,234.7,649,549,1.5,0.325,0.32,0,10.811,68.2,4.81
2021-11-17 12:50:55,11/17/2021 1:13:32 p. m.,16.9,5.66,92.8,234.7,649,550,1.5,0.325,0.32,0,10.81,68.3,4.82
2021-11-17 12:51:00,11/17/2021 1:13:37 p. m.,16.91,5.66,92.9,234.7,649,549,1.5,0.325,0.32,0,10.808,68.1,4.8
2021-11-17 12:51:05,11/17/2021 1:13:42 p. m.,16.91,5.66,92.9,234.7,649,549,1.5,0.324,0.32,0,10.809,67.6,4.77
2021-11-17 12:51:10,11/17/2021 1:13:47 p. m.,16.91,5.66,92.9,234.7,649,549,1.5,0.325,0.32,0,10.809,66.9,4.72
2021-11-17 12:51:15,11/17/2021 1:13:52 p. m.,16.91,5.66,92.9,234.7,649,549,1.5,0.324,0.32,0,10.812,66.7,4.71
2021-11-17 12:51:20,11/17/2021 1:13:57 p. m.,16.91,5.66,92.9,234.7,649,549,1.5,0.325,0.32,0,10.81,66.9,4.72
2021-11-17 12:51:25,11/17/2021 1:14:02 p. m.,16.91,5.66,92.9,234.7,649,549,1.5,0.325,0.32,0,10.811,66.8,4.71
2021-11-17 12:51:30,11/17/2021 1:14:07 p. m.,16.91,5.66,92.9,234.7,649,549,1.5,0.325,0.32,0,10.811,67.3,4.75
2021-11-17 12:51:35,11/17/2021 1:14:12 p. m.,16.91,5.66,92.9,234.7,649,549,1.5,0.325,0.32,0,10.811,68.4,4.82
2021-11-17 12:51:40,11/17/2021 1:14:17 p. m.,16.92,5.66,92.9,234.7,649,549,1.5,0.325,0.32,0,10.811,68.1,4.8
2021-11-17 12:51:45,11/17/2021 1:14:22 p. m.,16.92,5.66,92.9,234.7,649,549,1.5,0.324,0.32,0,10.811,67.9,4.79
2021-11-17 12:51:50,11/17/2021 1:14:27 p. m.,16.91,5.66,92.9,234.8,649,550,1.5,0.325,0.32,0,10.811,68.1,4.81
2021-11-17 12:51:55,11/17/2021 1:14:32 p. m.,16.92,5.66,92.9,234.8,649,549,1.5,0.324,0.32,0,10.811,68.1,4.81
2021-11-17 12:52:00,11/17/2021 1:14:37 p. m.,16.92,5.66,92.9,234.8,649,550,1.5,0.325,0.32,0,10.813,67.8,4.79
2021-11-17 12:52:05,11/17/2021 1:14:42 p. m.,16.92,5.66,92.9,234.8,649,549,1.5,0.325,0.32,0,10.811,68.4,4.83
2021-11-17 12:52:10,11/17/2021 1:14:47 p. m.,16.92,5.66,93,234.8,649,549,1.5,0.325,0.32,0,10.811,68.4,4.83
2021-11-17 12:52:15,11/17/2021 1:14:52 p. m.,16.92,5.66,93,234.8,649,550,1.5,0.325,0.32,0,10.811,68,4.8
2021-11-17 12:52:20,11/17/2021 1:14:57 p. m.,16.92,5.66,92.9,234.8,649,550,1.5,0.325,0.32,0,10.812,68,4.8
2021-11-17 12:52:25,11/17/2021 1:15:02 p. m.,16.92,5.66,93,234.8,649,549,1.5,0.325,0.32,0,10.811,67.1,4.74
2021-11-17 12:52:30,11/17/2021 1:15:07 p. m.,16.92,5.66,93,234.8,649,550,1.5,0.325,0.32,0,10.81,67.5,4.76
2021-11-17 12:52:35,11/17/2021 1:15:12 p. m.,16.92,5.66,93,234.8,649,549,1.5,0.325,0.32,0,10.812,68.3,4.82
2021-11-17 12:52:40,11/17/2021 1:15:17 p. m.,16.92,5.66,93,234.8,649,549,1.5,0.325,0.32,0,10.811,68.6,4.84
2021-11-17 12:52:45,11/17/2021 1:15:22 p. m.,16.92,5.66,93,234.8,649,550,1.5,0.325,0.32,0,10.811,68.1,4.8
2021-11-17 12:52:50,11/17/2021 1:15:27 p. m.,16.92,5.66,93,234.8,649,549,1.5,0.325,0.32,0,10.812,67.9,4.79
2021-11-17 12:52:55,11/17/2021 1:15:32 p. m.,16.92,5.66,93,234.8,649,550,1.5,0.325,0.32,0,10.813,68.1,4.81
2021-11-17 12:53:00,11/17/2021 1:15:37 p. m.,16.92,5.66,93,234.8,649,549,1.5,0.325,0.32,0,10.812,68,4.8
2021-11-17 12:53:05,11/17/2021 1:15:42 p. m.,16.92,5.66,93,234.9,649,550,1.5,0.325,0.32,0,10.813,68,4.8
2021-11-17 12:53:10,11/17/2021 1:15:47 p. m.,16.92,5.66,93.1,234.9,649,549,1.5,0.325,0.32,0,10.813,68,4.8
2021-11-17 12:53:15,11/17/2021 1:15:52 p. m.,16.92,5.66,93,234.9,649,549,1.5,0.325,0.32,0,10.814,67.9,4.79
2021-11-17 12:53:20,11/17/2021 1:15:57 p. m.,16.92,5.66,93.1,234.9,649,550,1.5,0.325,0.32,0,10.813,67.4,4.76
2021-11-17 12:53:25,11/17/2021 1:16:02 p. m.,16.92,5.66,93.1,234.9,649,550,1.5,0.325,0.32,0,10.814,67.5,4.76
2021-11-17 12:53:30,11/17/2021 1:16:07 p. m.,16.92,5.66,93.1,234.9,649,550,1.5,0.325,0.32,0,10.814,67.7,4.78
2021-11-17 12:53:35,11/17/2021 1:16:12 p. m.,16.92,5.66,93.1,234.9,649,549,1.5,0.324,0.32,0,10.813,67.8,4.78
2021-11-17 12:53:40,11/17/2021 1:16:17 p. m.,16.92,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.813,68.1,4.81
2021-11-17 12:53:45,11/17/2021 1:16:22 p. m.,16.92,5.66,93.1,234.9,649,549,1.5,0.325,0.32,0,10.811,67.9,4.79
2021-11-17 12:53:50,11/17/2021 1:16:27 p. m.,16.92,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.81,68.2,4.81
2021-11-17 12:53:55,11/17/2021 1:16:32 p. m.,16.92,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.81,68.4,4.82
2021-11-17 12:54:00,11/17/2021 1:16:37 p. m.,16.92,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.81,67.6,4.77
2021-11-17 12:54:05,11/17/2021 1:16:42 p. m.,16.92,5.65,93.2,234.9,649,550,1.5,0.325,0.32,0,10.811,67.1,4.73
2021-11-17 12:54:10,11/17/2021 1:16:47 p. m.,16.93,5.66,93,234.9,649,549,1.5,0.324,0.32,0,10.809,67.1,4.73
2021-11-17 12:54:15,11/17/2021 1:16:52 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.811,67.4,4.75
2021-11-17 12:54:20,11/17/2021 1:16:57 p. m.,16.92,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.811,68.4,4.82
2021-11-17 12:54:25,11/17/2021 1:17:02 p. m.,16.92,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.811,68.2,4.81
2021-11-17 12:54:30,11/17/2021 1:17:07 p. m.,16.92,5.65,93.1,234.9,649,549,1.5,0.324,0.32,0,10.813,68.4,4.82
2021-11-17 12:54:35,11/17/2021 1:17:12 p. m.,16.92,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.813,68.5,4.83
2021-11-17 12:54:40,11/17/2021 1:17:17 p. m.,16.92,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.812,68,4.8
2021-11-17 12:54:45,11/17/2021 1:17:22 p. m.,16.93,5.65,93.1,234.9,649,549,1.5,0.324,0.32,0,10.813,68.1,4.8
2021-11-17 12:54:50,11/17/2021 1:17:27 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.814,68.3,4.82
2021-11-17 12:54:55,11/17/2021 1:17:32 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.815,67.2,4.74
2021-11-17 12:55:00,11/17/2021 1:17:37 p. m.,16.93,5.65,93.1,234.9,649,549,1.5,0.324,0.32,0,10.814,67.1,4.73
2021-11-17 12:55:05,11/17/2021 1:17:42 p. m.,16.93,5.65,93.2,234.9,649,550,1.5,0.325,0.32,0,10.814,66.9,4.72
2021-11-17 12:55:10,11/17/2021 1:17:47 p. m.,16.93,5.65,93.2,234.9,649,550,1.5,0.325,0.32,0,10.812,67.8,4.78
2021-11-17 12:55:15,11/17/2021 1:17:52 p. m.,16.93,5.65,93.2,234.9,649,550,1.5,0.325,0.32,0,10.812,67.7,4.78
2021-11-17 12:55:20,11/17/2021 1:17:57 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.812,67.2,4.74
2021-11-17 12:55:25,11/17/2021 1:18:02 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.813,67,4.73
2021-11-17 12:55:30,11/17/2021 1:18:07 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.815,67.8,4.78
2021-11-17 12:55:35,11/17/2021 1:18:12 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.814,67.6,4.77
2021-11-17 12:55:40,11/17/2021 1:18:17 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.812,67.6,4.77
2021-11-17 12:55:45,11/17/2021 1:18:22 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.812,68.1,4.8
2021-11-17 12:55:50,11/17/2021 1:18:27 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.813,68.1,4.81
2021-11-17 12:55:55,11/17/2021 1:18:32 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.811,67.8,4.78
2021-11-17 12:56:00,11/17/2021 1:18:37 p. m.,16.93,5.65,93.1,234.9,649,550,1.5,0.325,0.32,0,10.811,68.2,4.81
2021-11-17 12:56:05,11/17/2021 1:18:42 p. m.,16.93,5.65,93.1,235,649,550,1.5,0.325,0.32,0,10.812,67.6,4.77
2021-11-17 12:56:10,11/17/2021 1:18:47 p. m.,16.93,5.65,93.2,235,649,550,1.5,0.325,0.32,0,10.811,67,4.72
2021-11-17 12:56:15,11/17/2021 1:18:52 p. m.,16.94,5.65,93.2,235,649,550,1.5,0.325,0.32,0,10.811,67.4,4.76
2021-11-17 12:56:20,11/17/2021 1:18:57 p. m.,16.94,5.65,93.2,235,649,550,1.5,0.325,0.32,0,10.81,67.1,4.73
2021-11-17 12:56:25,11/17/2021 1:19:02 p. m.,16.94,5.65,93.2,235,649,550,1.5,0.325,0.32,0,10.809,66.6,4.7
2021-11-17 12:56:30,11/17/2021 1:19:07 p. m.,16.94,5.65,93.2,235,649,550,1.5,0.325,0.32,0,10.809,66.3,4.68
2021-11-17 12:56:35,11/17/2021 1:19:12 p. m.,16.94,5.65,93.2,235,649,550,1.5,0.325,0.32,0,10.81,67.6,4.76
2021-11-17 12:56:40,11/17/2021 1:19:17 p. m.,16.94,5.65,93.2,235,649,550,1.5,0.325,0.32,0,10.811,67.6,4.77
2021-11-17 12:56:45,11/17/2021 1:19:22 p. m.,16.94,5.65,93.2,235,649,550,1.5,0.325,0.32,0,10.81,67.3,4.75
2021-11-17 12:56:50,11/17/2021 1:19:27 p. m.,16.94,5.65,93.2,235,649,550,1.5,0.325,0.32,0,10.81,68.2,4.81
2021-11-17 12:56:55,11/17/2021 1:19:32 p. m.,16.94,5.65,93.2,235,650,550,1.5,0.325,0.32,0,10.811,68.2,4.81
2021-11-17 12:57:00,11/17/2021 1:19:37 p. m.,16.94,5.65,93.2,235.1,649,550,1.5,0.325,0.32,0,10.811,67.8,4.78
2021-11-17 12:57:05,11/17/2021 1:19:42 p. m.,16.94,5.65,93.2,235.1,649,550,1.5,0.325,0.32,0,10.811,68.2,4.81
2021-11-17 12:57:10,11/17/2021 1:19:47 p. m.,16.94,5.65,93.2,235.1,649,550,1.5,0.325,0.32,0,10.811,67.9,4.79
2021-11-17 12:57:15,11/17/2021 1:19:52 p. m.,16.94,5.65,93.2,235.1,650,550,1.5,0.325,0.32,0,10.809,67.8,4.78
2021-11-17 12:57:20,11/17/2021 1:19:57 p. m.,16.94,5.65,93.2,235.1,650,550,1.5,0.325,0.32,0,10.809,67.7,4.77
2021-11-17 12:57:25,11/17/2021 1:20:02 p. m.,16.94,5.65,93.3,235.1,650,551,1.5,0.325,0.32,0,10.808,68.2,4.8
2021-11-17 12:57:30,11/17/2021 1:20:07 p. m.,16.94,5.65,93.4,235.1,650,550,1.5,0.325,0.32,0,10.81,67.8,4.78
2021-11-17 12:57:35,11/17/2021 1:20:12 p. m.,16.94,5.65,93.2,235.1,650,550,1.5,0.325,0.32,0,10.81,67,4.72
2021-11-17 12:57:40,11/17/2021 1:20:17 p. m.,16.94,5.65,93.2,235.1,649,550,1.5,0.325,0.32,0,10.811,66.4,4.68
2021-11-17 12:57:45,11/17/2021 1:20:22 p. m.,16.95,5.65,93.3,235.1,650,550,1.5,0.325,0.32,0,10.811,66.1,4.66
2021-11-17 12:57:50,11/17/2021 1:20:27 p. m.,16.95,5.65,93.3,235.2,650,550,1.5,0.325,0.32,0,10.811,66.2,4.67
2021-11-17 12:57:55,11/17/2021 1:20:32 p. m.,16.95,5.65,93.3,235.2,650,550,1.5,0.325,0.32,0,10.812,66.5,4.69
2021-11-17 12:58:00,11/17/2021 1:20:37 p. m.,16.95,5.65,93.3,235.2,650,550,1.5,0.325,0.32,0,10.811,67.5,4.76
2021-11-17 12:58:05,11/17/2021 1:20:42 p. m.,16.95,5.65,93.3,235.2,650,550,1.5,0.325,0.32,0,10.811,66.5,4.69
2021-11-17 12:58:10,11/17/2021 1:20:47 p. m.,16.95,5.65,93.3,235.2,650,550,1.5,0.325,0.32,0,10.811,66,4.65
2021-11-17 12:58:15,11/17/2021 1:20:52 p. m.,16.95,5.65,93.3,235.2,650,550,1.5,0.325,0.32,0,10.809,66.4,4.68
2021-11-17 12:58:20,11/17/2021 1:20:57 p. m.,16.96,5.65,93.3,235.2,650,550,1.5,0.325,0.32,0,10.812,65.9,4.65
2021-11-17 12:58:25,11/17/2021 1:21:02 p. m.,16.96,5.65,93.3,235.2,650,551,1.5,0.325,0.32,0,10.811,66.5,4.69
2021-11-17 12:58:30,11/17/2021 1:21:07 p. m.,16.96,5.65,93.3,235.2,650,551,1.5,0.325,0.32,0,10.809,66.2,4.66
2021-11-17 12:58:35,11/17/2021 1:21:12 p. m.,16.96,5.65,93.3,235.2,649,550,1.5,0.325,0.32,0,10.809,65.9,4.64
2021-11-17 12:58:40,11/17/2021 1:21:17 p. m.,16.96,5.65,93.3,235.2,650,550,1.5,0.325,0.32,0,10.809,65.7,4.63
2021-11-17 12:58:45,11/17/2021 1:21:22 p. m.,16.96,5.65,93.3,235.3,650,551,1.5,0.325,0.32,0,10.809,65.6,4.62
2021-11-17 12:58:50,11/17/2021 1:21:27 p. m.,16.96,5.65,93.3,235.3,649,550,1.5,0.325,0.32,0,10.81,65.8,4.64
2021-11-17 12:58:55,11/17/2021 1:21:32 p. m.,16.96,5.65,93.3,235.3,649,550,1.5,0.325,0.32,0,10.808,67,4.73
2021-11-17 12:59:00,11/17/2021 1:21:37 p. m.,16.96,5.65,93.3,235.3,649,550,1.5,0.325,0.32,0,10.807,66.9,4.71
2021-11-17 12:59:05,11/17/2021 1:21:42 p. m.,16.96,5.65,93.3,235.3,649,550,1.5,0.325,0.32,0,10.808,67,4.72
2021-11-17 12:59:10,11/17/2021 1:21:47 p. m.,16.96,5.65,93.3,235.3,650,550,1.5,0.325,0.32,0,10.807,66.7,4.7
2021-11-17 12:59:15,11/17/2021 1:21:52 p. m.,16.96,5.65,93.4,235.3,650,550,1.5,0.325,0.32,0,10.808,66.7,4.7
2021-11-17 12:59:20,11/17/2021 1:21:57 p. m.,16.96,5.65,93.3,235.3,649,550,1.5,0.325,0.32,0,10.808,67.2,4.74
2021-11-17 12:59:25,11/17/2021 1:22:02 p. m.,16.96,5.65,93.3,235.3,649,550,1.5,0.325,0.32,0,10.809,66.8,4.71
2021-11-17 12:59:30,11/17/2021 1:22:07 p. m.,16.96,5.65,93.3,235.3,650,550,1.5,0.325,0.32,0,10.807,65.9,4.64
2021-11-17 12:59:35,11/17/2021 1:22:12 p. m.,16.96,5.65,93.3,235.3,649,550,1.5,0.325,0.32,0,10.808,65.4,4.61
2021-11-17 12:59:40,11/17/2021 1:22:17 p. m.,16.97,5.65,93.3,235.3,649,550,1.5,0.325,0.32,0,10.808,65.4,4.61
2021-11-17 12:59:45,11/17/2021 1:22:22 p. m.,16.97,5.65,93.4,235.3,649,550,1.5,0.325,0.32,0,10.808,66.8,4.71
2021-11-17 12:59:50,11/17/2021 1:22:27 p. m.,16.97,5.65,93.3,235.3,650,551,1.5,0.325,0.32,0,10.808,66.4,4.68
2021-11-17 12:59:55,11/17/2021 1:22:32 p. m.,16.97,5.65,93.3,235.4,650,551,1.5,0.325,0.32,0,10.807,66.3,4.67
2021-11-17 13:00:00,11/17/2021 1:22:37 p. m.,16.97,5.65,93.3,235.4,650,551,1.5,0.325,0.32,0,10.808,67.1,4.73
2021-11-17 13:00:05,11/17/2021 1:22:42 p. m.,16.97,5.65,93.3,235.4,650,551,1.5,0.325,0.32,0,10.807,66.6,4.69
2021-11-17 13:00:10,11/17/2021 1:22:47 p. m.,16.97,5.65,93.3,235.4,650,551,1.5,0.325,0.32,0,10.808,66,4.65
2021-11-17 13:00:15,11/17/2021 1:22:52 p. m.,16.97,5.65,93.3,235.4,650,551,1.5,0.325,0.32,0,10.81,66.3,4.67
2021-11-17 13:00:20,11/17/2021 1:22:57 p. m.,16.97,5.65,93.3,235.4,650,551,1.5,0.325,0.32,0,10.809,66.1,4.66
2021-11-17 13:00:25,11/17/2021 1:23:02 p. m.,16.97,5.65,93.3,235.4,650,551,1.5,0.325,0.32,0,10.81,66.5,4.69
2021-11-17 13:00:30,11/17/2021 1:23:07 p. m.,16.97,5.65,93.4,235.5,650,551,1.5,0.325,0.32,0,10.81,67.4,4.75
2021-11-17 13:00:35,11/17/2021 1:23:12 p. m.,16.97,5.65,93.4,235.4,650,550,1.5,0.325,0.32,0,10.808,67,4.72
2021-11-17 13:00:40,11/17/2021 1:23:17 p. m.,16.97,5.65,93.4,235.4,650,551,1.5,0.325,0.32,0,10.81,66.5,4.69
2021-11-17 13:00:45,11/17/2021 1:23:22 p. m.,16.97,5.65,93.4,235.4,650,551,1.5,0.325,0.32,0,10.809,66.6,4.69
2021-11-17 13:00:50,11/17/2021 1:23:27 p. m.,16.97,5.65,93.5,235.4,650,551,1.5,0.325,0.32,0,10.808,66.6,4.69
2021-11-17 13:00:55,11/17/2021 1:23:32 p. m.,16.97,5.65,93.4,235.4,650,551,1.5,0.325,0.32,0,10.809,66.2,4.67
