Datetime,Date,Time,Temp,pH ,mV[pH],ORP[mV],EC,EC Abs,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L]
11/17/2021 12:08:06 p. m.,2021/11/17,12:08:06 p. m.,16.35,5.7,90.6,238.2,647,540,1.5,0.323,0.32,0,10.883,63.1,4.53
11/17/2021 12:08:11 p. m.,2021/11/17,12:08:11 p. m.,16.35,5.7,90.6,238.2,647,541,1.5,0.323,0.32,0,10.885,62.9,4.53
11/17/2021 12:08:16 p. m.,2021/11/17,12:08:16 p. m.,16.35,5.7,90.6,238.2,647,541,1.5,0.323,0.32,0,10.883,64,4.6
11/17/2021 12:08:21 p. m.,2021/11/17,12:08:21 p. m.,16.36,5.7,90.6,238.2,647,541,1.5,0.323,0.32,0,10.882,65.4,4.7
11/17/2021 12:08:26 p. m.,2021/11/17,12:08:26 p. m.,16.36,5.7,90.7,238.2,647,540,1.5,0.323,0.32,0,10.884,66.1,4.75
11/17/2021 12:08:31 p. m.,2021/11/17,12:08:31 p. m.,16.36,5.7,90.6,238.2,647,540,1.5,0.323,0.32,0,10.884,66.1,4.75
11/17/2021 12:08:36 p. m.,2021/11/17,12:08:36 p. m.,16.36,5.7,90.5,238.2,647,540,1.5,0.323,0.32,0,10.882,66,4.74
11/17/2021 12:08:41 p. m.,2021/11/17,12:08:41 p. m.,16.36,5.7,90.6,238.2,647,540,1.5,0.323,0.32,0,10.882,66.1,4.75
11/17/2021 12:08:46 p. m.,2021/11/17,12:08:46 p. m.,16.36,5.7,90.6,238.2,646,540,1.5,0.323,0.32,0,10.882,65.9,4.74
11/17/2021 12:08:51 p. m.,2021/11/17,12:08:51 p. m.,16.36,5.7,90.6,238.2,646,540,1.5,0.323,0.32,0,10.882,65.6,4.72
11/17/2021 12:08:56 p. m.,2021/11/17,12:08:56 p. m.,16.36,5.7,90.6,238.1,646,540,1.5,0.323,0.32,0,10.882,66.2,4.76
11/17/2021 12:09:01 p. m.,2021/11/17,12:09:01 p. m.,16.36,5.7,90.6,238.1,646,540,1.5,0.323,0.32,0,10.881,66.8,4.8
11/17/2021 12:09:06 p. m.,2021/11/17,12:09:06 p. m.,16.36,5.7,90.6,238.1,647,540,1.5,0.323,0.32,0,10.882,66.4,4.77
11/17/2021 12:09:11 p. m.,2021/11/17,12:09:11 p. m.,16.36,5.7,90.6,238.1,647,540,1.5,0.323,0.32,0,10.881,65.9,4.74
11/17/2021 12:09:16 p. m.,2021/11/17,12:09:16 p. m.,16.36,5.7,90.5,238.1,647,540,1.5,0.323,0.32,0,10.879,65.6,4.72
11/17/2021 12:09:21 p. m.,2021/11/17,12:09:21 p. m.,16.36,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.877,65.6,4.71
11/17/2021 12:09:26 p. m.,2021/11/17,12:09:26 p. m.,16.36,5.7,90.5,238,647,541,1.5,0.323,0.32,0,10.878,65.6,4.71
11/17/2021 12:09:31 p. m.,2021/11/17,12:09:31 p. m.,16.36,5.7,90.5,238,647,540,1.5,0.323,0.32,0,10.877,65.8,4.73
11/17/2021 12:09:36 p. m.,2021/11/17,12:09:36 p. m.,16.36,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.878,66.2,4.76
11/17/2021 12:09:41 p. m.,2021/11/17,12:09:41 p. m.,16.36,5.7,90.6,238.1,647,541,1.5,0.324,0.32,0,10.877,66,4.74
11/17/2021 12:09:46 p. m.,2021/11/17,12:09:46 p. m.,16.37,5.7,90.6,238,647,541,1.5,0.324,0.32,0,10.877,65.4,4.7
11/17/2021 12:09:51 p. m.,2021/11/17,12:09:51 p. m.,16.37,5.7,90.5,238,647,541,1.5,0.323,0.32,0,10.878,64.8,4.66
11/17/2021 12:09:56 p. m.,2021/11/17,12:09:56 p. m.,16.37,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.879,64.4,4.62
11/17/2021 12:10:01 p. m.,2021/11/17,12:10:01 p. m.,16.37,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.879,63.9,4.59
11/17/2021 12:10:06 p. m.,2021/11/17,12:10:06 p. m.,16.37,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.878,64.2,4.61
11/17/2021 12:10:11 p. m.,2021/11/17,12:10:11 p. m.,16.37,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.877,64.6,4.64
11/17/2021 12:10:16 p. m.,2021/11/17,12:10:16 p. m.,16.37,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.875,64.2,4.61
11/17/2021 12:10:21 p. m.,2021/11/17,12:10:21 p. m.,16.37,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.874,63.6,4.57
11/17/2021 12:10:26 p. m.,2021/11/17,12:10:26 p. m.,16.38,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.876,63.1,4.53
11/17/2021 12:10:31 p. m.,2021/11/17,12:10:31 p. m.,16.38,5.7,90.6,238,647,541,1.5,0.323,0.32,0,10.876,62.9,4.52
11/17/2021 12:10:36 p. m.,2021/11/17,12:10:36 p. m.,16.38,5.7,90.6,237.9,647,541,1.5,0.324,0.32,0,10.877,62.6,4.5
11/17/2021 12:10:41 p. m.,2021/11/17,12:10:41 p. m.,16.38,5.7,90.6,237.9,647,541,1.5,0.324,0.32,0,10.878,62.8,4.51
11/17/2021 12:10:46 p. m.,2021/11/17,12:10:46 p. m.,16.37,5.7,90.6,237.9,647,541,1.5,0.324,0.32,0,10.877,62.7,4.51
11/17/2021 12:10:51 p. m.,2021/11/17,12:10:51 p. m.,16.37,5.7,90.6,237.9,647,541,1.5,0.323,0.32,0,10.876,62.9,4.52
11/17/2021 12:10:56 p. m.,2021/11/17,12:10:56 p. m.,16.37,5.7,90.6,237.9,647,541,1.5,0.323,0.32,0,10.875,63.4,4.56
11/17/2021 12:11:01 p. m.,2021/11/17,12:11:01 p. m.,16.37,5.7,90.6,237.8,647,541,1.5,0.324,0.32,0,10.875,65.3,4.69
11/17/2021 12:11:06 p. m.,2021/11/17,12:11:06 p. m.,16.38,5.7,90.6,237.8,647,541,1.5,0.324,0.32,0,10.873,65.9,4.73
11/17/2021 12:11:11 p. m.,2021/11/17,12:11:11 p. m.,16.38,5.7,90.7,237.8,647,541,1.5,0.324,0.32,0,10.874,66.1,4.75
11/17/2021 12:11:16 p. m.,2021/11/17,12:11:16 p. m.,16.38,5.7,90.7,237.7,647,541,1.5,0.324,0.32,0,10.874,66.2,4.75
11/17/2021 12:11:21 p. m.,2021/11/17,12:11:21 p. m.,16.38,5.7,90.7,237.7,647,541,1.5,0.324,0.32,0,10.874,66.2,4.75
11/17/2021 12:11:26 p. m.,2021/11/17,12:11:26 p. m.,16.38,5.7,90.7,237.7,647,541,1.5,0.324,0.32,0,10.873,65.6,4.71
11/17/2021 12:11:31 p. m.,2021/11/17,12:11:31 p. m.,16.38,5.7,90.7,237.6,647,541,1.5,0.324,0.32,0,10.875,65,4.66
11/17/2021 12:11:36 p. m.,2021/11/17,12:11:36 p. m.,16.38,5.7,90.7,237.6,647,541,1.5,0.324,0.32,0,10.873,64.4,4.62
11/17/2021 12:11:41 p. m.,2021/11/17,12:11:41 p. m.,16.38,5.7,90.7,237.6,647,541,1.5,0.324,0.32,0,10.871,64,4.59
11/17/2021 12:11:46 p. m.,2021/11/17,12:11:46 p. m.,16.38,5.7,90.7,237.6,647,541,1.5,0.324,0.32,0,10.87,63.4,4.55
11/17/2021 12:11:51 p. m.,2021/11/17,12:11:51 p. m.,16.38,5.7,90.7,237.6,647,541,1.5,0.324,0.32,0,10.87,63.2,4.54
11/17/2021 12:11:56 p. m.,2021/11/17,12:11:56 p. m.,16.38,5.7,90.7,237.6,647,541,1.5,0.324,0.32,0,10.868,63.3,4.54
11/17/2021 12:12:01 p. m.,2021/11/17,12:12:01 p. m.,16.38,5.7,90.8,237.6,648,542,1.5,0.324,0.32,0,10.869,63.5,4.56
11/17/2021 12:12:06 p. m.,2021/11/17,12:12:06 p. m.,16.39,5.7,90.8,237.5,647,541,1.5,0.324,0.32,0,10.866,63.6,4.56
11/17/2021 12:12:11 p. m.,2021/11/17,12:12:11 p. m.,16.39,5.7,90.8,237.6,647,541,1.5,0.324,0.32,0,10.866,63.5,4.55
11/17/2021 12:12:16 p. m.,2021/11/17,12:12:16 p. m.,16.39,5.69,90.8,237.6,647,541,1.5,0.323,0.32,0,10.868,63.9,4.58
11/17/2021 12:12:21 p. m.,2021/11/17,12:12:21 p. m.,16.4,5.7,90.8,237.5,647,541,1.5,0.324,0.32,0,10.868,64.9,4.66
11/17/2021 12:12:26 p. m.,2021/11/17,12:12:26 p. m.,16.41,5.69,90.8,237.5,647,541,1.5,0.324,0.32,0,10.867,64.9,4.65
11/17/2021 12:12:31 p. m.,2021/11/17,12:12:31 p. m.,16.41,5.69,90.8,237.5,647,541,1.5,0.324,0.32,0,10.865,64.8,4.65
11/17/2021 12:12:36 p. m.,2021/11/17,12:12:36 p. m.,16.39,5.69,90.8,237.5,647,541,1.5,0.324,0.32,0,10.866,64.6,4.63
11/17/2021 12:12:41 p. m.,2021/11/17,12:12:41 p. m.,16.39,5.69,90.8,237.4,647,541,1.5,0.324,0.32,0,10.866,64.3,4.61
11/17/2021 12:12:46 p. m.,2021/11/17,12:12:46 p. m.,16.39,5.69,90.8,237.4,647,541,1.5,0.324,0.32,0,10.866,64,4.59
11/17/2021 12:12:51 p. m.,2021/11/17,12:12:51 p. m.,16.39,5.69,90.8,237.4,647,541,1.5,0.324,0.32,0,10.867,64.2,4.61
11/17/2021 12:12:56 p. m.,2021/11/17,12:12:56 p. m.,16.39,5.69,90.8,237.4,648,542,1.5,0.324,0.32,0,10.868,64.2,4.61
11/17/2021 12:13:01 p. m.,2021/11/17,12:13:01 p. m.,16.39,5.69,90.8,237.4,648,542,1.5,0.324,0.32,0,10.866,64.2,4.61
11/17/2021 12:13:06 p. m.,2021/11/17,12:13:06 p. m.,16.39,5.69,90.8,237.3,648,542,1.5,0.324,0.32,0,10.866,64.4,4.62
11/17/2021 12:13:11 p. m.,2021/11/17,12:13:11 p. m.,16.39,5.69,90.8,237.3,648,542,1.5,0.324,0.32,0,10.865,64.6,4.63
11/17/2021 12:13:16 p. m.,2021/11/17,12:13:16 p. m.,16.39,5.69,90.8,237.3,648,542,1.5,0.324,0.32,0,10.866,64.2,4.61
11/17/2021 12:13:21 p. m.,2021/11/17,12:13:21 p. m.,16.39,5.69,90.8,237.3,647,541,1.5,0.324,0.32,0,10.868,64.1,4.6
11/17/2021 12:13:26 p. m.,2021/11/17,12:13:26 p. m.,16.39,5.69,90.8,237.2,647,541,1.5,0.324,0.32,0,10.867,64.4,4.62
11/17/2021 12:13:31 p. m.,2021/11/17,12:13:31 p. m.,16.41,5.69,90.8,237.2,646,541,1.5,0.323,0.32,0,10.867,65.2,4.67
11/17/2021 12:13:36 p. m.,2021/11/17,12:13:36 p. m.,16.41,5.69,90.8,237.3,646,541,1.5,0.323,0.32,0,10.866,65.6,4.7
11/17/2021 12:13:41 p. m.,2021/11/17,12:13:41 p. m.,16.41,5.69,90.9,237.3,646,541,1.5,0.323,0.32,0,10.867,65.7,4.71
11/17/2021 12:13:46 p. m.,2021/11/17,12:13:46 p. m.,16.41,5.69,90.9,237.2,646,541,1.5,0.323,0.32,0,10.866,66,4.74
11/17/2021 12:13:51 p. m.,2021/11/17,12:13:51 p. m.,16.41,5.69,90.9,237.2,647,541,1.5,0.323,0.32,0,10.867,65.8,4.72
11/17/2021 12:13:56 p. m.,2021/11/17,12:13:56 p. m.,16.41,5.69,90.9,237.2,647,541,1.5,0.323,0.32,0,10.868,67.2,4.82
11/17/2021 12:14:01 p. m.,2021/11/17,12:14:01 p. m.,16.41,5.69,90.9,237.2,647,541,1.5,0.323,0.32,0,10.866,68.6,4.92
11/17/2021 12:14:06 p. m.,2021/11/17,12:14:06 p. m.,16.41,5.69,90.9,237.1,647,541,1.5,0.323,0.32,0,10.866,68.7,4.92
11/17/2021 12:14:11 p. m.,2021/11/17,12:14:11 p. m.,16.41,5.69,90.9,237.1,647,541,1.5,0.324,0.32,0,10.866,68.5,4.91
11/17/2021 12:14:16 p. m.,2021/11/17,12:14:16 p. m.,16.41,5.69,90.9,237.1,647,541,1.5,0.324,0.32,0,10.866,68.9,4.94
11/17/2021 12:14:21 p. m.,2021/11/17,12:14:21 p. m.,16.41,5.69,90.9,237.1,647,542,1.5,0.324,0.32,0,10.867,68.6,4.92
11/17/2021 12:14:26 p. m.,2021/11/17,12:14:26 p. m.,16.41,5.69,90.9,237.1,648,542,1.5,0.324,0.32,0,10.864,68.3,4.9
11/17/2021 12:14:31 p. m.,2021/11/17,12:14:31 p. m.,16.41,5.69,90.9,237,647,542,1.5,0.324,0.32,0,10.864,68.2,4.89
11/17/2021 12:14:36 p. m.,2021/11/17,12:14:36 p. m.,16.41,5.69,90.9,237,647,542,1.5,0.324,0.32,0,10.864,68.3,4.89
11/17/2021 12:14:41 p. m.,2021/11/17,12:14:41 p. m.,16.41,5.69,90.9,237,647,542,1.5,0.324,0.32,0,10.864,68,4.88
11/17/2021 12:14:46 p. m.,2021/11/17,12:14:46 p. m.,16.41,5.69,90.9,237,647,541,1.5,0.324,0.32,0,10.864,67.9,4.87
11/17/2021 12:14:51 p. m.,2021/11/17,12:14:51 p. m.,16.41,5.69,90.9,237,647,541,1.5,0.324,0.32,0,10.864,68.1,4.88
11/17/2021 12:14:56 p. m.,2021/11/17,12:14:56 p. m.,16.42,5.69,90.9,237,646,541,1.5,0.323,0.32,0,10.864,67.8,4.86
11/17/2021 12:15:01 p. m.,2021/11/17,12:15:01 p. m.,16.42,5.69,90.9,237,646,541,1.5,0.323,0.32,0,10.862,67.2,4.82
11/17/2021 12:15:06 p. m.,2021/11/17,12:15:06 p. m.,16.42,5.69,91,237,646,541,1.5,0.323,0.32,0,10.863,66.7,4.78
11/17/2021 12:15:11 p. m.,2021/11/17,12:15:11 p. m.,16.42,5.69,91,237.1,646,541,1.5,0.323,0.32,0,10.864,66.3,4.75
11/17/2021 12:15:16 p. m.,2021/11/17,12:15:16 p. m.,16.42,5.69,91,237.1,646,541,1.5,0.323,0.32,0,10.864,65.8,4.72
11/17/2021 12:15:21 p. m.,2021/11/17,12:15:21 p. m.,16.42,5.69,91,237.1,647,541,1.5,0.323,0.32,0,10.864,65.8,4.72
11/17/2021 12:15:26 p. m.,2021/11/17,12:15:26 p. m.,16.42,5.69,91,237,647,541,1.5,0.323,0.32,0,10.865,66.9,4.8
11/17/2021 12:15:31 p. m.,2021/11/17,12:15:31 p. m.,16.42,5.69,91,237,647,541,1.5,0.323,0.32,0,10.864,67.7,4.85
11/17/2021 12:15:36 p. m.,2021/11/17,12:15:36 p. m.,16.42,5.69,91,237,647,541,1.5,0.323,0.32,0,10.862,68.4,4.9
11/17/2021 12:15:41 p. m.,2021/11/17,12:15:41 p. m.,16.42,5.69,91,237,647,541,1.5,0.323,0.32,0,10.864,67.9,4.87
11/17/2021 12:15:46 p. m.,2021/11/17,12:15:46 p. m.,16.43,5.69,91,237,647,541,1.5,0.323,0.32,0,10.864,67.3,4.83
11/17/2021 12:15:51 p. m.,2021/11/17,12:15:51 p. m.,16.43,5.69,91,237,647,541,1.5,0.323,0.32,0,10.863,67.4,4.83
11/17/2021 12:15:56 p. m.,2021/11/17,12:15:56 p. m.,16.43,5.69,91,237,646,541,1.5,0.323,0.32,0,10.862,67.2,4.81
11/17/2021 12:16:01 p. m.,2021/11/17,12:16:01 p. m.,16.44,5.69,91,237,647,541,1.5,0.323,0.32,0,10.861,67,4.8
11/17/2021 12:16:06 p. m.,2021/11/17,12:16:06 p. m.,16.44,5.69,91.1,237,646,541,1.5,0.323,0.32,0,10.861,66.8,4.78
11/17/2021 12:16:11 p. m.,2021/11/17,12:16:11 p. m.,16.44,5.69,91.1,236.9,646,541,1.5,0.323,0.32,0,10.862,67,4.8
11/17/2021 12:16:16 p. m.,2021/11/17,12:16:16 p. m.,16.44,5.69,91.1,236.9,646,541,1.5,0.323,0.32,0,10.86,67.7,4.85
11/17/2021 12:16:21 p. m.,2021/11/17,12:16:21 p. m.,16.44,5.69,91.1,236.9,646,541,1.5,0.323,0.32,0,10.861,67.5,4.84
11/17/2021 12:16:26 p. m.,2021/11/17,12:16:26 p. m.,16.44,5.69,91.1,236.9,646,541,1.5,0.323,0.32,0,10.86,67.1,4.8
11/17/2021 12:16:31 p. m.,2021/11/17,12:16:31 p. m.,16.44,5.69,91.1,236.9,646,541,1.5,0.323,0.32,0,10.861,68.2,4.89
11/17/2021 12:16:36 p. m.,2021/11/17,12:16:36 p. m.,16.44,5.69,91.1,236.9,646,541,1.5,0.323,0.32,0,10.86,68.4,4.9
11/17/2021 12:16:41 p. m.,2021/11/17,12:16:41 p. m.,16.44,5.69,91.2,236.9,646,541,1.5,0.323,0.32,0,10.859,67.4,4.83
11/17/2021 12:16:46 p. m.,2021/11/17,12:16:46 p. m.,16.44,5.69,91.1,236.9,647,541,1.5,0.323,0.32,0,10.86,66.7,4.78
11/17/2021 12:16:51 p. m.,2021/11/17,12:16:51 p. m.,16.44,5.69,91.1,236.9,647,542,1.5,0.323,0.32,0,10.859,67.1,4.8
11/17/2021 12:16:56 p. m.,2021/11/17,12:16:56 p. m.,16.44,5.69,91.1,236.9,646,541,1.5,0.323,0.32,0,10.861,67.5,4.84
11/17/2021 12:17:01 p. m.,2021/11/17,12:17:01 p. m.,16.44,5.69,91.1,236.9,647,541,1.5,0.323,0.32,0,10.861,67.3,4.82
11/17/2021 12:17:06 p. m.,2021/11/17,12:17:06 p. m.,16.44,5.69,91.1,236.8,647,542,1.5,0.323,0.32,0,10.86,66.8,4.79
11/17/2021 12:17:11 p. m.,2021/11/17,12:17:11 p. m.,16.44,5.69,91.1,236.8,647,542,1.5,0.323,0.32,0,10.858,67,4.79
11/17/2021 12:17:16 p. m.,2021/11/17,12:17:16 p. m.,16.44,5.69,91.2,236.8,647,541,1.5,0.323,0.32,0,10.859,67.2,4.81
11/17/2021 12:17:21 p. m.,2021/11/17,12:17:21 p. m.,16.44,5.69,91.1,236.8,647,542,1.5,0.324,0.32,0,10.857,67.3,4.82
11/17/2021 12:17:26 p. m.,2021/11/17,12:17:26 p. m.,16.44,5.69,91.1,236.8,647,542,1.5,0.324,0.32,0,10.858,66.9,4.79
11/17/2021 12:17:31 p. m.,2021/11/17,12:17:31 p. m.,16.44,5.69,91.1,236.8,647,542,1.5,0.324,0.32,0,10.858,66.4,4.75
11/17/2021 12:17:36 p. m.,2021/11/17,12:17:36 p. m.,16.44,5.69,91.1,236.8,647,542,1.5,0.324,0.32,0,10.855,66.3,4.75
11/17/2021 12:17:41 p. m.,2021/11/17,12:17:41 p. m.,16.44,5.69,91.1,236.8,647,542,1.5,0.324,0.32,0,10.856,65.9,4.72
11/17/2021 12:17:46 p. m.,2021/11/17,12:17:46 p. m.,16.44,5.69,91.1,236.8,647,542,1.5,0.323,0.32,0,10.856,65.6,4.7
11/17/2021 12:17:51 p. m.,2021/11/17,12:17:51 p. m.,16.44,5.69,91.1,236.8,647,542,1.5,0.324,0.32,0,10.855,65.9,4.72
11/17/2021 12:17:56 p. m.,2021/11/17,12:17:56 p. m.,16.45,5.69,91.1,236.7,647,542,1.5,0.323,0.32,0,10.856,65.9,4.72
11/17/2021 12:18:01 p. m.,2021/11/17,12:18:01 p. m.,16.45,5.69,91.2,236.7,647,542,1.5,0.323,0.32,0,10.856,66.1,4.73
11/17/2021 12:18:06 p. m.,2021/11/17,12:18:06 p. m.,16.45,5.69,91.2,236.7,647,542,1.5,0.323,0.32,0,10.856,66.2,4.74
11/17/2021 12:18:11 p. m.,2021/11/17,12:18:11 p. m.,16.45,5.69,91.2,236.7,647,542,1.5,0.323,0.32,0,10.855,66.3,4.74
11/17/2021 12:18:16 p. m.,2021/11/17,12:18:16 p. m.,16.45,5.69,91.2,236.7,647,542,1.5,0.323,0.32,0,10.855,66.5,4.76
11/17/2021 12:18:21 p. m.,2021/11/17,12:18:21 p. m.,16.45,5.69,91.1,236.7,647,542,1.5,0.323,0.32,0,10.853,66.3,4.74
11/17/2021 12:18:26 p. m.,2021/11/17,12:18:26 p. m.,16.46,5.69,91.2,236.7,646,541,1.5,0.323,0.32,0,10.852,65.6,4.69
11/17/2021 12:18:31 p. m.,2021/11/17,12:18:31 p. m.,16.46,5.69,91.2,236.7,646,541,1.5,0.323,0.32,0,10.854,65.4,4.68
11/17/2021 12:18:36 p. m.,2021/11/17,12:18:36 p. m.,16.46,5.69,91.2,236.7,646,541,1.5,0.323,0.32,0,10.854,65.3,4.67
11/17/2021 12:18:41 p. m.,2021/11/17,12:18:41 p. m.,16.47,5.69,91.2,236.6,646,541,1.5,0.323,0.32,0,10.854,65.9,4.72
11/17/2021 12:18:46 p. m.,2021/11/17,12:18:46 p. m.,16.46,5.69,91.2,236.6,646,542,1.5,0.323,0.32,0,10.854,66.2,4.74
11/17/2021 12:18:51 p. m.,2021/11/17,12:18:51 p. m.,16.47,5.69,91.2,236.6,647,542,1.5,0.323,0.32,0,10.854,66.1,4.73
11/17/2021 12:18:56 p. m.,2021/11/17,12:18:56 p. m.,16.47,5.69,91.2,236.6,647,542,1.5,0.323,0.32,0,10.853,65.8,4.7
11/17/2021 12:19:01 p. m.,2021/11/17,12:19:01 p. m.,16.47,5.69,91.2,236.6,647,542,1.5,0.323,0.32,0,10.853,65.4,4.68
11/17/2021 12:19:06 p. m.,2021/11/17,12:19:06 p. m.,16.47,5.69,91.2,236.6,647,542,1.5,0.323,0.32,0,10.852,65.1,4.65
11/17/2021 12:19:11 p. m.,2021/11/17,12:19:11 p. m.,16.47,5.69,91.1,236.6,647,542,1.5,0.323,0.32,0,10.854,64.6,4.62
11/17/2021 12:19:16 p. m.,2021/11/17,12:19:16 p. m.,16.47,5.69,91.2,236.6,647,542,1.5,0.323,0.32,0,10.853,64.2,4.59
11/17/2021 12:19:21 p. m.,2021/11/17,12:19:21 p. m.,16.47,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.853,63.9,4.57
11/17/2021 12:19:26 p. m.,2021/11/17,12:19:26 p. m.,16.47,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.854,63.6,4.55
11/17/2021 12:19:31 p. m.,2021/11/17,12:19:31 p. m.,16.47,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.854,63.4,4.53
11/17/2021 12:19:36 p. m.,2021/11/17,12:19:36 p. m.,16.47,5.69,91.2,236.5,647,542,1.5,0.324,0.32,0,10.854,63.1,4.52
11/17/2021 12:19:41 p. m.,2021/11/17,12:19:41 p. m.,16.47,5.69,91.2,236.5,647,542,1.5,0.324,0.32,0,10.853,63,4.51
11/17/2021 12:19:46 p. m.,2021/11/17,12:19:46 p. m.,16.47,5.69,91.2,236.5,647,542,1.5,0.324,0.32,0,10.853,63.2,4.52
11/17/2021 12:19:51 p. m.,2021/11/17,12:19:51 p. m.,16.47,5.69,91.2,236.5,647,542,1.5,0.324,0.32,0,10.854,63.4,4.54
11/17/2021 12:19:56 p. m.,2021/11/17,12:19:56 p. m.,16.47,5.69,91.2,236.5,648,543,1.5,0.324,0.32,0,10.853,63.5,4.54
11/17/2021 12:20:01 p. m.,2021/11/17,12:20:01 p. m.,16.47,5.69,91.2,236.5,648,543,1.5,0.324,0.32,0,10.853,63.7,4.56
11/17/2021 12:20:06 p. m.,2021/11/17,12:20:06 p. m.,16.47,5.69,91.2,236.5,648,543,1.5,0.324,0.32,0,10.853,63.8,4.56
11/17/2021 12:20:11 p. m.,2021/11/17,12:20:11 p. m.,16.47,5.69,91.2,236.5,648,543,1.5,0.324,0.32,0,10.852,63.8,4.56
11/17/2021 12:20:16 p. m.,2021/11/17,12:20:16 p. m.,16.47,5.69,91.2,236.5,647,542,1.5,0.324,0.32,0,10.852,63.6,4.55
11/17/2021 12:20:21 p. m.,2021/11/17,12:20:21 p. m.,16.48,5.69,91.2,236.5,647,542,1.5,0.324,0.32,0,10.853,63.9,4.57
11/17/2021 12:20:26 p. m.,2021/11/17,12:20:26 p. m.,16.48,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.852,64.2,4.59
11/17/2021 12:20:31 p. m.,2021/11/17,12:20:31 p. m.,16.48,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.851,64.4,4.61
11/17/2021 12:20:36 p. m.,2021/11/17,12:20:36 p. m.,16.48,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.851,64.1,4.58
11/17/2021 12:20:41 p. m.,2021/11/17,12:20:41 p. m.,16.48,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.853,63.9,4.57
11/17/2021 12:20:46 p. m.,2021/11/17,12:20:46 p. m.,16.48,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.851,63.4,4.53
11/17/2021 12:20:51 p. m.,2021/11/17,12:20:51 p. m.,16.48,5.69,91.1,236.5,647,542,1.5,0.323,0.32,0,10.85,63,4.5
11/17/2021 12:20:56 p. m.,2021/11/17,12:20:56 p. m.,16.48,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.852,62.8,4.49
11/17/2021 12:21:01 p. m.,2021/11/17,12:21:01 p. m.,16.48,5.69,91.2,236.5,647,542,1.5,0.323,0.32,0,10.853,62.8,4.49
11/17/2021 12:21:06 p. m.,2021/11/17,12:21:06 p. m.,16.48,5.69,91.2,236.5,647,542,1.5,0.324,0.32,0,10.852,63.1,4.51
