Datetime,Date,Time,Temp,pH ,mV[pH],ORP[mV],EC uS/cm,EC Abs uS/cm,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L],
11/22/2021 12:20:09 p. m.,2021/11/22,12:20:09 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.800,54.6,4.08,
11/22/2021 12:20:14 p. m.,2021/11/22,12:20:14 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.800,54.5,4.07,
11/22/2021 12:20:19 p. m.,2021/11/22,12:20:19 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.802,54.3,4.06,
11/22/2021 12:20:24 p. m.,2021/11/22,12:20:24 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.800,54.3,4.06,
11/22/2021 12:20:29 p. m.,2021/11/22,12:20:29 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.802,54.2,4.06,
11/22/2021 12:20:34 p. m.,2021/11/22,12:20:34 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.803,54.2,4.05,
11/22/2021 12:20:39 p. m.,2021/11/22,12:20:39 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.804,54.0,4.04,
11/22/2021 12:20:44 p. m.,2021/11/22,12:20:44 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.804,54.0,4.04,
11/22/2021 12:20:49 p. m.,2021/11/22,12:20:49 p. m.,14.19,4.85,135.4,308.3,691,549,1.4,0.346,0.34,0.0,10.804,53.9,4.03,
11/22/2021 12:20:54 p. m.,2021/11/22,12:20:54 p. m.,14.19,4.85,135.3,308.3,691,549,1.4,0.346,0.34,0.0,10.805,53.8,4.02,
11/22/2021 12:20:59 p. m.,2021/11/22,12:20:59 p. m.,14.19,4.85,135.2,308.2,691,549,1.4,0.346,0.34,0.0,10.805,53.7,4.01,
11/22/2021 12:21:04 p. m.,2021/11/22,12:21:04 p. m.,14.19,4.85,135.2,308.2,691,549,1.4,0.346,0.34,0.0,10.804,53.5,4.00,
11/22/2021 12:21:09 p. m.,2021/11/22,12:21:09 p. m.,14.19,4.85,135.3,308.2,691,549,1.4,0.346,0.34,0.0,10.802,53.5,4.00,
11/22/2021 12:21:14 p. m.,2021/11/22,12:21:14 p. m.,14.19,4.85,135.3,308.2,691,549,1.4,0.345,0.34,0.0,10.803,53.5,4.00,
11/22/2021 12:21:19 p. m.,2021/11/22,12:21:19 p. m.,14.20,4.85,135.3,308.2,691,549,1.4,0.345,0.34,0.0,10.803,53.6,4.01,
11/22/2021 12:21:24 p. m.,2021/11/22,12:21:24 p. m.,14.20,4.85,135.3,308.2,691,549,1.4,0.345,0.34,0.0,10.803,53.8,4.02,
11/22/2021 12:21:29 p. m.,2021/11/22,12:21:29 p. m.,14.20,4.85,135.3,308.2,691,549,1.4,0.345,0.34,0.0,10.802,54.0,4.03,
11/22/2021 12:21:34 p. m.,2021/11/22,12:21:34 p. m.,14.20,4.85,135.2,308.3,691,549,1.4,0.345,0.34,0.0,10.802,54.1,4.04,
11/22/2021 12:21:39 p. m.,2021/11/22,12:21:39 p. m.,14.20,4.85,135.3,308.3,691,549,1.4,0.345,0.34,0.0,10.803,54.1,4.05,
11/22/2021 12:21:44 p. m.,2021/11/22,12:21:44 p. m.,14.20,4.85,135.3,308.3,691,549,1.4,0.345,0.34,0.0,10.802,54.2,4.06,
11/22/2021 12:21:49 p. m.,2021/11/22,12:21:49 p. m.,14.20,4.85,135.3,308.3,691,549,1.4,0.345,0.34,0.0,10.801,54.3,4.06,
11/22/2021 12:21:54 p. m.,2021/11/22,12:21:54 p. m.,14.21,4.85,135.3,308.3,691,549,1.4,0.345,0.34,0.0,10.802,54.4,4.07,
11/22/2021 12:21:59 p. m.,2021/11/22,12:21:59 p. m.,14.21,4.85,135.3,308.3,691,549,1.4,0.345,0.34,0.0,10.801,54.4,4.07,
11/22/2021 12:22:04 p. m.,2021/11/22,12:22:04 p. m.,14.21,4.85,135.3,308.3,691,549,1.4,0.345,0.34,0.0,10.801,54.5,4.07,
11/22/2021 12:22:09 p. m.,2021/11/22,12:22:09 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.802,54.5,4.08,
11/22/2021 12:22:14 p. m.,2021/11/22,12:22:14 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.804,54.6,4.08,
11/22/2021 12:22:19 p. m.,2021/11/22,12:22:19 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.803,54.6,4.08,
11/22/2021 12:22:24 p. m.,2021/11/22,12:22:24 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.803,54.6,4.08,
11/22/2021 12:22:29 p. m.,2021/11/22,12:22:29 p. m.,14.21,4.85,135.4,308.3,690,549,1.4,0.345,0.34,0.0,10.804,54.6,4.08,
11/22/2021 12:22:34 p. m.,2021/11/22,12:22:34 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.804,54.7,4.09,
11/22/2021 12:22:39 p. m.,2021/11/22,12:22:39 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.803,54.8,4.10,
11/22/2021 12:22:44 p. m.,2021/11/22,12:22:44 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.801,55.0,4.11,
11/22/2021 12:22:49 p. m.,2021/11/22,12:22:49 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.801,55.1,4.12,
11/22/2021 12:22:54 p. m.,2021/11/22,12:22:54 p. m.,14.21,4.85,135.2,308.3,690,549,1.4,0.345,0.34,0.0,10.803,55.1,4.12,
11/22/2021 12:22:59 p. m.,2021/11/22,12:22:59 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.805,55.1,4.12,
11/22/2021 12:23:04 p. m.,2021/11/22,12:23:04 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.804,55.0,4.12,
11/22/2021 12:23:09 p. m.,2021/11/22,12:23:09 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.803,55.1,4.12,
11/22/2021 12:23:14 p. m.,2021/11/22,12:23:14 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.805,55.0,4.11,
11/22/2021 12:23:19 p. m.,2021/11/22,12:23:19 p. m.,14.21,4.85,135.2,308.3,690,549,1.4,0.345,0.34,0.0,10.803,54.9,4.11,
11/22/2021 12:23:24 p. m.,2021/11/22,12:23:24 p. m.,14.21,4.85,135.2,308.3,690,549,1.4,0.345,0.34,0.0,10.804,54.9,4.11,
11/22/2021 12:23:29 p. m.,2021/11/22,12:23:29 p. m.,14.21,4.85,135.2,308.3,690,549,1.4,0.345,0.34,0.0,10.802,55.0,4.11,
11/22/2021 12:23:34 p. m.,2021/11/22,12:23:34 p. m.,14.21,4.85,135.4,308.3,690,549,1.4,0.345,0.34,0.0,10.805,55.0,4.11,
11/22/2021 12:23:39 p. m.,2021/11/22,12:23:39 p. m.,14.21,4.85,135.2,308.3,690,549,1.4,0.345,0.34,0.0,10.805,55.0,4.11,
11/22/2021 12:23:44 p. m.,2021/11/22,12:23:44 p. m.,14.21,4.85,135.2,308.3,690,549,1.4,0.345,0.34,0.0,10.804,55.0,4.12,
11/22/2021 12:23:49 p. m.,2021/11/22,12:23:49 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.804,55.0,4.11,
11/22/2021 12:23:54 p. m.,2021/11/22,12:23:54 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.802,55.0,4.11,
11/22/2021 12:23:59 p. m.,2021/11/22,12:23:59 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.804,55.2,4.13,
11/22/2021 12:24:04 p. m.,2021/11/22,12:24:04 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.804,55.3,4.14,
11/22/2021 12:24:09 p. m.,2021/11/22,12:24:09 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.803,55.5,4.15,
11/22/2021 12:24:14 p. m.,2021/11/22,12:24:14 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.802,55.6,4.16,
11/22/2021 12:24:19 p. m.,2021/11/22,12:24:19 p. m.,14.21,4.85,135.2,308.3,690,549,1.4,0.345,0.34,0.0,10.801,55.6,4.16,
11/22/2021 12:24:24 p. m.,2021/11/22,12:24:24 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.802,55.6,4.16,
11/22/2021 12:24:29 p. m.,2021/11/22,12:24:29 p. m.,14.21,4.85,135.2,308.3,690,549,1.4,0.345,0.34,0.0,10.799,55.6,4.15,
11/22/2021 12:24:34 p. m.,2021/11/22,12:24:34 p. m.,14.21,4.85,135.4,308.3,690,549,1.4,0.345,0.34,0.0,10.801,55.5,4.15,
11/22/2021 12:24:39 p. m.,2021/11/22,12:24:39 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.801,55.5,4.15,
11/22/2021 12:24:44 p. m.,2021/11/22,12:24:44 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.800,55.4,4.14,
11/22/2021 12:24:49 p. m.,2021/11/22,12:24:49 p. m.,14.21,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.802,55.4,4.14,
11/22/2021 12:24:54 p. m.,2021/11/22,12:24:54 p. m.,14.22,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.803,55.2,4.13,
11/22/2021 12:24:59 p. m.,2021/11/22,12:24:59 p. m.,14.22,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.804,55.0,4.12,
11/22/2021 12:25:04 p. m.,2021/11/22,12:25:04 p. m.,14.22,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.801,55.0,4.11,
11/22/2021 12:25:09 p. m.,2021/11/22,12:25:09 p. m.,14.22,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.801,54.9,4.11,
11/22/2021 12:25:14 p. m.,2021/11/22,12:25:14 p. m.,14.22,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.801,54.9,4.10,
11/22/2021 12:25:19 p. m.,2021/11/22,12:25:19 p. m.,14.22,4.85,135.3,308.3,690,549,1.4,0.345,0.34,0.0,10.801,54.9,4.10,
11/22/2021 12:25:24 p. m.,2021/11/22,12:25:24 p. m.,14.22,4.85,135.3,308.2,690,549,1.4,0.345,0.34,0.0,10.801,54.9,4.10,
11/22/2021 12:25:29 p. m.,2021/11/22,12:25:29 p. m.,14.22,4.85,135.3,308.2,690,549,1.4,0.345,0.34,0.0,10.802,54.9,4.10,
11/22/2021 12:25:34 p. m.,2021/11/22,12:25:34 p. m.,14.22,4.85,135.3,308.2,690,549,1.4,0.345,0.34,0.0,10.802,54.9,4.10,
11/22/2021 12:25:39 p. m.,2021/11/22,12:25:39 p. m.,14.22,4.85,135.3,308.2,690,549,1.4,0.345,0.34,0.0,10.802,54.9,4.10,
11/22/2021 12:25:44 p. m.,2021/11/22,12:25:44 p. m.,14.22,4.85,135.3,308.2,690,549,1.4,0.345,0.34,0.0,10.803,54.8,4.09,
11/22/2021 12:25:49 p. m.,2021/11/22,12:25:49 p. m.,14.22,4.85,135.3,308.2,690,549,1.4,0.345,0.34,0.0,10.805,54.7,4.09,
11/22/2021 12:25:54 p. m.,2021/11/22,12:25:54 p. m.,14.22,4.85,135.2,308.2,690,549,1.4,0.345,0.34,0.0,10.804,54.9,4.10,
11/22/2021 12:25:59 p. m.,2021/11/22,12:25:59 p. m.,14.22,4.85,135.2,308.2,690,549,1.4,0.345,0.34,0.0,10.806,55.1,4.12,
11/22/2021 12:26:04 p. m.,2021/11/22,12:26:04 p. m.,14.22,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.803,55.5,4.15,
11/22/2021 12:26:09 p. m.,2021/11/22,12:26:09 p. m.,14.22,4.85,135.3,308.2,690,549,1.4,0.345,0.34,0.0,10.803,55.6,4.16,
11/22/2021 12:26:14 p. m.,2021/11/22,12:26:14 p. m.,14.22,4.85,135.2,308.2,690,549,1.4,0.345,0.34,0.0,10.804,55.7,4.16,
11/22/2021 12:26:19 p. m.,2021/11/22,12:26:19 p. m.,14.22,4.85,135.2,308.2,690,549,1.4,0.345,0.34,0.0,10.806,55.6,4.16,
11/22/2021 12:26:24 p. m.,2021/11/22,12:26:24 p. m.,14.22,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.805,55.5,4.15,
11/22/2021 12:26:29 p. m.,2021/11/22,12:26:29 p. m.,14.22,4.85,135.2,308.2,690,549,1.4,0.345,0.34,0.0,10.806,55.3,4.14,
11/22/2021 12:26:34 p. m.,2021/11/22,12:26:34 p. m.,14.22,4.85,135.2,308.2,690,549,1.4,0.345,0.34,0.0,10.805,55.3,4.14,
11/22/2021 12:26:39 p. m.,2021/11/22,12:26:39 p. m.,14.22,4.85,135.2,308.2,690,549,1.4,0.345,0.34,0.0,10.804,55.3,4.13,
11/22/2021 12:26:44 p. m.,2021/11/22,12:26:44 p. m.,14.22,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.803,55.2,4.13,
11/22/2021 12:26:49 p. m.,2021/11/22,12:26:49 p. m.,14.22,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.803,55.3,4.13,
11/22/2021 12:26:54 p. m.,2021/11/22,12:26:54 p. m.,14.22,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.802,55.4,4.14,
11/22/2021 12:26:59 p. m.,2021/11/22,12:26:59 p. m.,14.22,4.85,135.2,308.2,690,549,1.4,0.345,0.34,0.0,10.803,55.5,4.15,
11/22/2021 12:27:04 p. m.,2021/11/22,12:27:04 p. m.,14.22,4.85,135.2,308.2,690,549,1.4,0.345,0.34,0.0,10.803,55.6,4.16,
11/22/2021 12:27:09 p. m.,2021/11/22,12:27:09 p. m.,14.22,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.804,55.6,4.15,
11/22/2021 12:27:14 p. m.,2021/11/22,12:27:14 p. m.,14.22,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.806,55.5,4.15,
11/22/2021 12:27:19 p. m.,2021/11/22,12:27:19 p. m.,14.22,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.806,55.4,4.14,
11/22/2021 12:27:24 p. m.,2021/11/22,12:27:24 p. m.,14.23,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.803,55.4,4.14,
11/22/2021 12:27:29 p. m.,2021/11/22,12:27:29 p. m.,14.23,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.804,55.3,4.13,
11/22/2021 12:27:34 p. m.,2021/11/22,12:27:34 p. m.,14.23,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.804,55.2,4.13,
11/22/2021 12:27:39 p. m.,2021/11/22,12:27:39 p. m.,14.23,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.803,55.1,4.12,
11/22/2021 12:27:44 p. m.,2021/11/22,12:27:44 p. m.,14.23,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.802,55.1,4.11,
11/22/2021 12:27:49 p. m.,2021/11/22,12:27:49 p. m.,14.23,4.85,135.2,308.2,689,548,1.5,0.345,0.34,0.0,10.802,55.0,4.11,
11/22/2021 12:27:54 p. m.,2021/11/22,12:27:54 p. m.,14.23,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.804,54.9,4.11,
11/22/2021 12:27:59 p. m.,2021/11/22,12:27:59 p. m.,14.23,4.85,135.2,308.2,690,548,1.4,0.345,0.34,0.0,10.803,54.9,4.10,
11/22/2021 12:28:04 p. m.,2021/11/22,12:28:04 p. m.,14.23,4.85,135.2,308.1,690,549,1.4,0.345,0.34,0.0,10.802,54.8,4.10,
11/22/2021 12:28:09 p. m.,2021/11/22,12:28:09 p. m.,14.23,4.85,135.2,308.1,690,548,1.4,0.345,0.34,0.0,10.800,54.8,4.10,
11/22/2021 12:28:14 p. m.,2021/11/22,12:28:14 p. m.,14.23,4.85,135.2,308.1,690,548,1.4,0.345,0.34,0.0,10.801,54.8,4.09,
11/22/2021 12:28:19 p. m.,2021/11/22,12:28:19 p. m.,14.23,4.85,135.2,308.2,689,548,1.5,0.345,0.34,0.0,10.801,54.8,4.09,
11/22/2021 12:28:24 p. m.,2021/11/22,12:28:24 p. m.,14.23,4.85,135.2,308.2,689,548,1.5,0.345,0.34,0.0,10.801,54.7,4.09,
11/22/2021 12:28:29 p. m.,2021/11/22,12:28:29 p. m.,14.23,4.85,135.2,308.1,690,549,1.4,0.345,0.34,0.0,10.801,54.6,4.08,
11/22/2021 12:28:34 p. m.,2021/11/22,12:28:34 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.800,54.6,4.08,
11/22/2021 12:28:39 p. m.,2021/11/22,12:28:39 p. m.,14.23,4.85,135.1,308.1,689,548,1.5,0.345,0.34,0.0,10.800,54.4,4.07,
11/22/2021 12:28:44 p. m.,2021/11/22,12:28:44 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.800,54.1,4.05,
11/22/2021 12:28:49 p. m.,2021/11/22,12:28:49 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.802,54.0,4.03,
11/22/2021 12:28:54 p. m.,2021/11/22,12:28:54 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.802,53.8,4.02,
11/22/2021 12:28:59 p. m.,2021/11/22,12:28:59 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.804,53.7,4.02,
11/22/2021 12:29:04 p. m.,2021/11/22,12:29:04 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.804,53.7,4.01,
11/22/2021 12:29:09 p. m.,2021/11/22,12:29:09 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.805,53.7,4.02,
11/22/2021 12:29:14 p. m.,2021/11/22,12:29:14 p. m.,14.23,4.85,135.2,308.1,690,548,1.4,0.345,0.34,0.0,10.803,53.7,4.01,
11/22/2021 12:29:19 p. m.,2021/11/22,12:29:19 p. m.,14.23,4.85,135.2,308.1,690,548,1.4,0.345,0.34,0.0,10.802,53.7,4.01,
11/22/2021 12:29:24 p. m.,2021/11/22,12:29:24 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.803,53.7,4.01,
11/22/2021 12:29:29 p. m.,2021/11/22,12:29:29 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.803,53.6,4.00,
11/22/2021 12:29:34 p. m.,2021/11/22,12:29:34 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.800,53.5,4.00,
11/22/2021 12:29:39 p. m.,2021/11/22,12:29:39 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.801,53.4,3.99,
11/22/2021 12:29:44 p. m.,2021/11/22,12:29:44 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.801,53.3,3.98,
11/22/2021 12:29:49 p. m.,2021/11/22,12:29:49 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.801,53.2,3.97,
11/22/2021 12:29:54 p. m.,2021/11/22,12:29:54 p. m.,14.23,4.85,135.2,308.1,690,549,1.4,0.345,0.34,0.0,10.799,53.1,3.96,
11/22/2021 12:29:59 p. m.,2021/11/22,12:29:59 p. m.,14.23,4.85,135.2,308.1,689,548,1.5,0.345,0.34,0.0,10.801,53.0,3.96,
11/22/2021 12:30:04 p. m.,2021/11/22,12:30:04 p. m.,14.23,4.85,135.2,308.1,690,549,1.4,0.345,0.34,0.0,10.804,52.8,3.95,
11/22/2021 12:30:09 p. m.,2021/11/22,12:30:09 p. m.,14.23,4.85,135.2,308.1,690,549,1.4,0.345,0.34,0.0,10.803,52.8,3.94,
